Location,zillow-value,one-year-change,one-year-forcast,market-temperature,price-sqft,median-listing-price,median-sale-price,avg-days-on-market,negative-equity,delinquincy,rent-list-price,rent-sqft
Garfield Heights neighbour,"202,420",12.7,1.0,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Congress Heights neighbour,"360,079",2.4,0.1,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Petworth neighbour,"730,543",4.1,-0.5,Cool,507,"660,000","709,100",Nodata,Nodata,Nodata,Nodata,Nodata
Michigan Park neighbour,"547,964",1.1,-1.2,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Forest Hills neighbour,"979,114",4.2,-0.6,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Brightwood neighbour,"727,860",8.1,0.6,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Manor Park neighbour,"639,388",2.1,-0.5,Nodata,463,"662,500","667,800",Nodata,Nodata,Nodata,Nodata,Nodata
Brightwood Park neighbour,"643,994",7.7,0.4,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Langdon neighbour,"565,661",2.4,-0.7,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
North Michigan Park neighbour,"552,885",2.4,0.1,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Woodridge neighbour,"655,192",9.0,0.6,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
North Cleveland Park neighbour,"1,246,719",8.1,0.2,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Cathedral Heights neighbour,"637,890",3.3,-0.8,Nodata,408,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Burleith neighbour,"1,310,596",3.5,0.8,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Glover Park neighbour,"650,313",2.6,-0.6,Nodata,573,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Radnor-Ft Myer Heights neighbour,"563,088",6.1,0.1,Very Hot,Norecentdata,Nodata,Nodata,48,Nodata,Nodata,"2,050",3.06
Lyon Village neighbour,"1,520,444",6.1,0.3,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Lyon Park neighbour,"1,065,203",8.1,1.0,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Clarendon-Courthouse neighbour,"665,799",6.0,0.2,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,"2,640",2.91
Colonial Village neighbour,"359,099",4.5,-0.5,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
North Highland neighbour,"478,252",5.6,0.1,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Greenway neighbour,"404,433",10.7,1.5,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
River Terrace neighbour,"374,796",6.1,-0.7,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Wakefield neighbour,"744,772",2.8,-0.9,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
McLean Gardens neighbour,"432,769",2.9,-0.8,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Washington Highlands neighbour,"357,807",6.4,1.0,Nodata,275,"299,000",Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Dupont Park neighbour,"531,813",3.6,-1.5,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Fort Davis neighbour,"388,372",7.5,0.6,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Bellevue neighbour,"362,068",9.3,0.9,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Riggs Park neighbour,"546,789",3.7,-0.1,Nodata,431,"554,500","527,900",Nodata,Nodata,Nodata,Nodata,Nodata
Friendship Heights neighbour,"1,202,220",4.5,-0.4,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Chevy Chase neighbour,"1,150,512",2.8,-0.7,Nodata,553,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Barnaby Woods neighbour,"1,196,021",2.7,-0.5,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Shepherd Park neighbour,"902,850",3.1,-0.8,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Takoma neighbour,"639,490",1.5,-1.3,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Fort Lincoln neighbour,"473,487",2.0,-0.1,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
American University Park neighbour,"1,155,767",6.0,0.4,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Berkley neighbour,"1,857,438",4.7,-0.2,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Wesley Heights neighbour,"634,447",1.8,-0.8,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
The Palisades neighbour,"1,221,891",5.0,-0.2,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Arlington Heights neighbour,"747,983",7.1,0.1,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
